Sector,Symbol,Date,Close Price,EPS,P/E Ratio
Technology,AAPL,2021-12-09,171.7466583251953,6.07,28.294342392948156
Technology,AAPL,2021-12-10,176.55784606933594,6.07,29.08695981372915
Technology,AAPL,2021-12-13,172.90762329101562,6.07,28.485605155027283
Technology,AAPL,2021-12-14,171.52040100097656,6.07,28.257067710210304
Technology,AAPL,2021-12-15,176.4102783203125,6.07,29.062648817184925
Technology,AAPL,2021-12-16,169.4837188720703,6.07,27.92153523427847
Technology,AAPL,2021-12-17,168.3817596435547,6.07,27.73999335149171
Technology,AAPL,2021-12-20,167.01417541503906,6.07,27.51469117216459
Technology,AAPL,2021-12-21,170.2019805908203,6.07,28.039865006724927
Technology,AAPL,2021-12-22,172.80926513671875,6.07,28.469401175736202
Technology,AAPL,2021-12-23,173.43896484375,6.07,28.573140830930807
Technology,AAPL,2021-12-27,177.4236602783203,6.07,29.22959806891603
Technology,AAPL,2021-12-28,176.40040588378906,6.07,29.061022386126698
Technology,AAPL,2021-12-29,176.48899841308594,6.07,29.07561753098615
Technology,AAPL,2021-12-30,175.3280029296875,6.07,28.88434974129942
Technology,AAPL,2021-12-31,174.70816040039062,6.07,28.782234003359246
Technology,AAPL,2022-01-03,179.07659912109375,6.07,29.50191089309617
Technology,AAPL,2022-01-04,176.80381774902344,6.07,29.12748233097585
Technology,AAPL,2022-01-05,172.10086059570312,6.07,28.35269532054417
Technology,AAPL,2022-01-06,169.2279510498047,6.07,27.879398854992534
Technology,AAPL,2022-01-07,169.39517211914062,6.07,27.906947630830416
Technology,AAPL,2022-01-10,169.41485595703125,6.07,27.91019043773167
Technology,AAPL,2022-01-11,172.25828552246094,6.07,28.378630234342822
Technology,AAPL,2022-01-12,172.70103454589844,6.07,28.45157076538689
Technology,AAPL,2022-01-13,169.41485595703125,6.07,27.91019043773167
Technology,AAPL,2022-01-14,170.28065490722656,6.07,28.052826179114753
Technology,AAPL,2022-01-18,167.06338500976562,6.07,27.522798189417728
Technology,AAPL,2022-01-19,163.55093383789062,6.07,26.94414066522086
Technology,AAPL,2022-01-20,161.85862731933594,6.07,26.66534222723821
Technology,AAPL,2022-01-21,159.79244995117188,6.07,26.324950568562087
Technology,AAPL,2022-01-24,159.0151824951172,6.07,26.19689991682326
Technology,AAPL,2022-01-25,157.20486450195312,6.07,25.898659720255868
Technology,AAPL,2022-01-26,157.11631774902344,6.07,25.884072116807815
Technology,AAPL,2022-01-27,156.65386962890625,6.07,25.807886265058688
Technology,AAPL,2022-01-28,167.58482360839844,6.07,27.608702406655425
Technology,AAPL,2022-01-31,171.96310424804688,6.07,28.330000699842977
Technology,AAPL,2022-02-01,171.79586791992188,6.07,28.302449410201294
Technology,AAPL,2022-02-02,173.00601196289062,6.07,28.501814161925967
Technology,AAPL,2022-02-03,170.11337280273438,6.07,28.025267348061675
